alias,accession,ENA biosample accession
AD_winter_study_170325_barcode45,ERS27176708,SAMEA120476022
AD_winter_study_170325_barcode46,ERS27176709,SAMEA120476023
AD_winter_study_170325_barcode47,ERS27176710,SAMEA120476024
AD_winter_study_170325_barcode48,ERS27176711,SAMEA120476025
AD_winter_study_170325_barcode49,ERS27176712,SAMEA120476026
AD_winter_study_170325_barcode50,ERS27176713,SAMEA120476027
AD_winter_study_170325_barcode51,ERS27176714,SAMEA120476028
AD_winter_study_170325_barcode52,ERS27176715,SAMEA120476029
AD_winter_study_170325_barcode53,ERS27176716,SAMEA120476030
AD_winter_study_170325_barcode54,ERS27176717,SAMEA120476031
AD_winter_study_170325_barcode55,ERS27176718,SAMEA120476032
AD_winter_study_170325_barcode56,ERS27176719,SAMEA120476033
AD_winter_study_170325_barcode57,ERS27176720,SAMEA120476034
AD_winter_study_170325_barcode58,ERS27176721,SAMEA120476035
AD_winter_study_170325_barcode59,ERS27176722,SAMEA120476036
AD_winter_study_170325_barcode60,ERS27176723,SAMEA120476037
AD_winter_study_170325_barcode61,ERS27176724,SAMEA120476038
AD_winter_study_170325_barcode62,ERS27176725,SAMEA120476039
AD_winter_study_170325_barcode63,ERS27176726,SAMEA120476040
AD_winter_study_170325_barcode64,ERS27176727,SAMEA120476041
AD_winter_study_170325_barcode65,ERS27176728,SAMEA120476042
AD_winter_study_170325_barcode66,ERS27176729,SAMEA120476043
AD_winter_study_170325_barcode67,ERS27176730,SAMEA120476044
AD_winter_study_170325_barcode68,ERS27176731,SAMEA120476045
AD_winter_study_170325_barcode69,ERS27176732,SAMEA120476046
AD_winter_study_170325_barcode70,ERS27176733,SAMEA120476047
AD_winter_study_170325_barcode71,ERS27176734,SAMEA120476048
AD_winter_study_170325_barcode72,ERS27176735,SAMEA120476049
AD_winter_study_170325_barcode73,ERS27176736,SAMEA120476050
AD_winter_study_170325_barcode74,ERS27176737,SAMEA120476051
AD_winter_study_170325_barcode75,ERS27176738,SAMEA120476052
AD_winter_study_201224_barcode01,ERS27176739,SAMEA120476053
AD_winter_study_201224_barcode02,ERS27176740,SAMEA120476054
AD_winter_study_201224_barcode03,ERS27176741,SAMEA120476055
AD_winter_study_201224_barcode04,ERS27176742,SAMEA120476056
AD_winter_study_201224_barcode05,ERS27176743,SAMEA120476057
AD_winter_study_201224_barcode06,ERS27176744,SAMEA120476058
AD_winter_study_201224_barcode07,ERS27176745,SAMEA120476059
AD_winter_study_201224_barcode08,ERS27176746,SAMEA120476060
AD_winter_study_201224_barcode09,ERS27176747,SAMEA120476061
AD_winter_study_201224_barcode10,ERS27176748,SAMEA120476062
AD_winter_study_201224_barcode11,ERS27176749,SAMEA120476063
AD_winter_study_201224_barcode12,ERS27176750,SAMEA120476064
AD_winter_study_201224_barcode13,ERS27176751,SAMEA120476065
AD_winter_study_201224_barcode14,ERS27176752,SAMEA120476066
AD_winter_study_201224_barcode15,ERS27176753,SAMEA120476067
AD_winter_study_201224_barcode16,ERS27176754,SAMEA120476068
AD_winter_study_201224_barcode17,ERS27176755,SAMEA120476069
AD_winter_study_201224_barcode18,ERS27176756,SAMEA120476070
AD_winter_study_201224_barcode19,ERS27176757,SAMEA120476071
AD_winter_study_201224_barcode20,ERS27176758,SAMEA120476072
AD_winter_study_201224_barcode21,ERS27176759,SAMEA120476073
AD_winter_study_201224_barcode22,ERS27176760,SAMEA120476074
AD_winter_study_201224_barcode23,ERS27176761,SAMEA120476075
AD_winter_study_201224_barcode24,ERS27176762,SAMEA120476076
AD_winter_study_201224_barcode25,ERS27176763,SAMEA120476077
AD_winter_study_201224_barcode26,ERS27176764,SAMEA120476078
AD_winter_study_201224_barcode27,ERS27176765,SAMEA120476079
AD_winter_study_201224_barcode28,ERS27176766,SAMEA120476080
AD_winter_study_201224_barcode29,ERS27176767,SAMEA120476081
AD_winter_study_201224_barcode30,ERS27176768,SAMEA120476082
AD_winter_study_201224_barcode31,ERS27176769,SAMEA120476083
AD_winter_study_201224_barcode32,ERS27176770,SAMEA120476084
AD_winter_study_201224_barcode33,ERS27176771,SAMEA120476085
AD_winter_study_201224_barcode34,ERS27176772,SAMEA120476086
AD_winter_study_201224_barcode35,ERS27176773,SAMEA120476087
AD_winter_study_201224_barcode36,ERS27176774,SAMEA120476088
AD_winter_study_201224_barcode37,ERS27176775,SAMEA120476089
AD_winter_study_220125_barcode41,ERS27176776,SAMEA120476090
AD_winter_study_220125_barcode42,ERS27176777,SAMEA120476091
AD_winter_study_220125_barcode43,ERS27176778,SAMEA120476092
AD_winter_study_220125_barcode44,ERS27176779,SAMEA120476093
AD_winter_study_220125_barcode45,ERS27176780,SAMEA120476094
AD_winter_study_220125_barcode46,ERS27176781,SAMEA120476095
AD_winter_study_220125_barcode47,ERS27176782,SAMEA120476096
AD_winter_study_220125_barcode48,ERS27176783,SAMEA120476097
AD_winter_study_220125_barcode49,ERS27176784,SAMEA120476098
AD_winter_study_220125_barcode50,ERS27176785,SAMEA120476099
AD_winter_study_220125_barcode51,ERS27176786,SAMEA120476100
AD_winter_study_220125_barcode52,ERS27176787,SAMEA120476101
AD_winter_study_220125_barcode53,ERS27176788,SAMEA120476102
AD_winter_study_220125_barcode54,ERS27176789,SAMEA120476103
AD_winter_study_220125_barcode55,ERS27176790,SAMEA120476104
AD_winter_study_220125_barcode56,ERS27176791,SAMEA120476105
AD_winter_study_220125_barcode57,ERS27176792,SAMEA120476106
AD_winter_study_220125_barcode58,ERS27176793,SAMEA120476107
AD_winter_study_220125_barcode59,ERS27176794,SAMEA120476108
AD_winter_study_220125_barcode60,ERS27176795,SAMEA120476109
AD_winter_study_220125_barcode61,ERS27176796,SAMEA120476110
AD_winter_study_220125_barcode62,ERS27176797,SAMEA120476111
AD_winter_study_220125_barcode63,ERS27176798,SAMEA120476112
AD_winter_study_220125_barcode64,ERS27176799,SAMEA120476113
AD_winter_study_220125_barcode65,ERS27176800,SAMEA120476114
AD_winter_study_220125_barcode66,ERS27176801,SAMEA120476115
AD_winter_study_220125_barcode67,ERS27176802,SAMEA120476116
AD_winter_study_220125_barcode68,ERS27176803,SAMEA120476117
AD_winter_study_220125_barcode69,ERS27176804,SAMEA120476118
AD_winter_study_220125_barcode70,ERS27176805,SAMEA120476119
AD_winter_study_220125_barcode71,ERS27176806,SAMEA120476120
AD_winter_study_220125_barcode72,ERS27176807,SAMEA120476121
AD_winter_study_220125_barcode73,ERS27176808,SAMEA120476122
